Item,Price
Frappuccino Apple Crisp - Base Creme,R$22.22
Apple CRISP Macchiato,R$18.90
Frappuccino Apple Crisp - Base Café,R$22.34
Apple CRISP Macchiato Gelado,R$19.01
Frappuccino Chocolate Branco,R$19.21
FRAPPUCCINO Café,R$16.69
Frappuccino Doce de Leite - Base Café,R$19.53
Frappuccino Caramelo - Base Creme,R$19.33
Frappuccino Caramelo - Café Base,R$19.45
Frappuccino Brigadeiro - Cream Base,R$20.27
Hazelnut Frappuccino,R$18.75
Fraguccino vanilla,R$19.00
Frappuccino Hazelnut - Cream Base,R$20.38
Frappuccino Mocha,R$19.20
Frappuccino Dulce de Leite - Base Cream,R$19.53
Frappuccino Choco Chip - Base Creme,R$20.27
Frappuccino Caramelo,R$18.63
Frappuccino Dulce de Leite,R$18.40
Frappuccino Super Strawberry,R$19.08
Frappuccino Tea Chai,R$19.22
Frappuccino Brigadeiro,R$18.57
Frappuccino Brigadeiro - Base Café,R$20.27
Frappuccino Mocha Branco,R$19.15
FRAPPUCCINO Passion Fruit,R$19.12
Crescent Malina,R$20.38
Green Tea Frappuccino,R$19.26
Frappuccino Choco Chip,R$18.57
Frappuccino Choco Chip - Café Base,R$20.38
Frappuccino Chocolate,R$19.20
Caramel stained quite milk,R$16.86
Hot latte coffee,R$13.63
Carrot muffin,R$16.86
Innocent Energise Smoothie,R$11.98
Hot mocha coffee,R$16.00
Hot White Mocha Coffee,R$17.40
Hazelnut Drage with Gianduia,R$35.00
Mini chicken drumstick with curd,R$17.20
Strawberry cookie,R$9.31
Dark Chocotube,R$4.50
Chilled chocolate,R$13.91
Caramel Macchiato Iic,R$16.88
Café Latte,R$12.15
Flat White,R$13.40
American coffee,R$10.08
Vanilla latte,R$15.11
Caramel stained milk,R$15.20
White Mocha Coffee,R$15.52
Hot latte dulce de leche,R$16.10
Filtrated coffee,R$9.94
Coffee with milk,R$10.52
Mocha coffee,R$15.55
Latte Brigadier,R$16.04
Lyophilized banana,R$12.27
Lyophilized manga,R$12.38
Lyophilized pineapple,R$12.31
Tea chai hot,R$11.51
Chai milk,R$12.25
Latte green tea,R$12.79
Hot Latte Green Tea,R$14.16
Chai milk milk,R$13.75
Hot black tea,R$10.58
Hot green tea,R$10.58
Cold American coffee,R$10.16
Iced Café Mocha White,R$15.70
Iced Vanilla Latte,R$15.23
Coffee with iced milk,R$11.07
Iced Café Latte,R$12.23
Iced Sweet Latte,R$15.70
COFFEE,R$12.76
Iced Café,R$9.86
Mocha Coffee ICED,R$15.75
Iced Café com Milk,R$10.86
Iced caramel stained,R$15.20
Chick Latte Vanilla,R$15.89
Traditional Cold Brew,R$12.60
COFFEE WHITE COLHA,R$16.23
Cold Brew com Leite,R$15.45
COFFEE COVER,R$16.31
Cold Brew Vanilla,R$15.45
Cold latte dulce de leche,R$16.16
Tea chai ice cream,R$11.40
CHAI LATTE IIC,R$12.83
Iced Green Tea with Blueberry,R$12.59
Black tea,R$11.24
Tea chai with lemonade,R$14.10
Iced Green Tea Lemonade,R$12.09
Green tea with lemonade,R$13.39
Iced green tea,R$10.61
Iced Black Tea,R$10.56
Black tea with lemonade,R$13.44
Black tea with blueberry,R$12.62
Iced Green Tea with Lemonade and Blueberry,R$13.61
Iced Tea Chai,R$11.44
Green tea with blueberry,R$12.70
Iced tea chai with lemonade,R$13.43
Iced Black Tea with Lemonade,R$12.58
Green tea with lemonade and blueberry,R$13.44
Iced Green Tea,R$10.56
Black tea with lemonade and blueberry,R$13.56
Iced Black Tea with Blueberry,R$12.59
Green tea ice cream,R$13.49
Iced Black Tea with Lemonade and Blueberry,R$13.63
Iced Chai Latte,R$12.43
Iced Green Tea Latte,R$12.75
Chilled white chocolate,R$13.19
Iced Chocolate Classic,R$12.86
Iced Chocolate Branco,R$12.85
Chocolate classic cold,R$12.55
Hot white chocolate,R$13.07
Hot classic chocolate,R$13.10
Detox juice,R$11.73
Red fruits and lemonade refresher,R$18.15
Orange and Papaya Juice - Greenpeople,R$16.13
Beet and carrot juice- Greenpeople,R$16.13
Pineapple juice with mint -greenpeople,R$16.34
Orange juice,R$11.00
Apple Juice - Natural One,R$12.10
Passion fruit juice - Natural One,R$12.10
Water,R$7.70
Gas,R$7.70
Croissant Multigrans with turkey breast and cream cheese,R$12.34
Mini chicken drumstick,R$20.35
Sweet Potato Chips - Teriyaki Sabor,R$13.20
Sweet potato chips,R$11.00
Honey bread,R$8.43
Chocolate cookie with chocolate drops,R$10.06
Carrot cake,R$10.64
Bananinha,R$5.85
Caramel Stroopwafel,R$5.89
Ring Donuts Chocoberry,R$10.98
Ring Donuts Dulce de Leite,R$11.00
Ring Donuts Chocolate,R$11.29
Ring Donuts Cookies 'n Cream,R$11.37
Banana bolus,R$10.68
Espresso brownie,R$11.26
Muffin Blueberry,R$10.79
Muffin Chocolate,R$10.76
Cereal Bar - Coconut,R$9.35
Was Red Velvet Fatia,R$16.82
Cereal Bar - Cramberry,R$9.35
Whole red velvet cake,R$190.44
Orange juice 300ml,R$10.81
Pink Lemonade 300ml,R$10.72
Has,R$12.88
Lemon Refreshers,R$12.92
Strawberry Refreshers with Lemonade,R$16.44
Violet Drink,R$17.27
Detox 300ml juice,R$10.65
Red fruit refreshers with lemonade,R$16.06
Orange juice with papaya 250ml,R$15.87
Iced Green Tea with Lemonade,R$12.15
Red Fruit Refreshers,R$12.83
Refreshers de Pitaya,R$12.87
Orange juice with carrot and beet - 250ml,R$15.83
Pitaya Refreshers with Lemonade,R$16.41
Dragon Drink,R$17.30
Pink Drink,R$17.26
Minalba without gas 510 ml,R$6.90
Minalba with gas 510 ml,R$6.90
Multigrãos crescent,R$11.33
Multigran cheese bread,R$7.65
Mini cheese bread,R$18.32
Chicken drumstick,R$10.91
Croque sir,R$26.17
Croissant ham and cheese,R$11.58
Traditional cheese bread,R$7.61
Toast Petrópolis,R$8.98
Croissant of Frango,R$11.61
Mocha (big),R$19.14
Toast of ham and mozzarella,R$19.08
BRAZIL BLEND,R$35.14
Colombia,R$34.73
Espresso Roast,R$34.98
Ethiopia,R$37.91
Pike Place,R$34.50
Sumatra,R$37.73
Verona,R$34.43
Pink Reusable Cup,R$48.00
Mug with white smooth logo 355ml,R$47.73
Mug with black logo black 355ml,R$47.79
Brazil Mug with 414ml,R$78.95
Rio de Janeiro Mug 414ml,R$79.06
Mug of São Paulo 414ml,R$79.29
