Item,Price
Sourdough Grilled Cheese,$6.25
Crispy Grilled Cheese on Sourdough,$7.07
"Turkey, Provolone and Pesto on Ciabatta",$9.11
"Chicken, Apple & Brie Sandwich",$8.48
Chicken Caprese on Ciabatta,$8.73
Cubano Sandwich,$8.87
Chimichurri Chicken Sandwich,$8.57
Chicken and Bacon on Brioche,$9.20
Caprese Sandwich,$8.01
"Apples, PB and Trail Mix Snack Box",$6.88
Tomato and Mozzarella on Focaccia,$8.76
Original Hummus and Crackers Snack Box,$4.85
Artisan Charcuterie Snack Box,$6.89
Avocado Spread,$1.75
Chicken Shawarma Wrap,$7.93
Southwest Black Bean Wrap with Monterey Jack,$7.93
Thai Chile Tuna Wrap with Jasmine Rice,$7.93
Chicken & Quinoa Protein Bowl with Chile Vinaigrette,$10.70
Eggs & Cheese Protein Box,$8.38
Baby Greens & Brown Rice Protein Bowl with Toasted Sesame Dressing,$10.69
Cheese & Fruit Protein Box,$7.77
Farmers' Market Protein Box,$8.35
Fire-Grilled Chicken Protein Box,$8.35
Chocolate Dipped Madeleines,$3.15
Dipped Madeleines,$3.12
Madeleines,$3.02
Shortbread Cookies,$2.20
Pumpkin Spice Madeleines,$3.45
Chocolate Covered Espresso Beans,$3.15
Justin's - Dark Chocolate Peanut Butter Cups,$3.15
Salted Almond Chocolate Bites,$3.32
Justin's Dark Chocolate Peanut Butter Cups,$3.19
Starbucks Chocolate Covered Espresso Beans,$3.55
Starbucks® Hot Cocoa Tin,$18.35
Starbucks® Salted Peppermint Bark,$9.15
Perfectly Salted Kettle Chips,$2.25
Starbucks® Bourbon Flavored Caramels,$11.45
Starbucks® Chocolate Cranberries,$11.45
Smoky Sweet BBQ Kettle Potato Chips,$2.25
KIND Peanut Butter Dark Chocolate Bar,$2.65
Banana,$1.15
Spearmint Gum,$2.93
KIND Nuts Cherry and Dark Chocolate Bar,$2.65
Peppermint Gum,$2.65
Perfectly Salted Kettle Potato Chips,$2.31
Starbucks® Smoky Sweet BBQ Kettle Potato Chips,$2.25
Salt and Vinegar Kettle Chips,$2.25
Butter Gourmet Popcorn,$2.02
Squirrel - Crème Brûlée Almonds,$2.85
Crispy Apple Chips,$2.68
KIND Raspberry Chia,$2.65
Marble Cheese Stick,$1.67
KIND Peanut Butter Dark Chocolate,$2.65
Squirrel - Classic Almonds,$2.87
KIND® Raspberry Chia Bar,$2.65
Sprouted Grain Vegan Bagel,$2.66
Banana Nut Bread,$2.95
Everything Bagel,$3.09
Cinnamon Coffee Cake,$4.38
ACE Baguette Bagel,$2.66
Banana Loaf,$4.83
Birthday Cake Pop,$2.69
Iced Lemon Loaf Cake,$2.95
Cookies and Cream Cake Pop,$3.63
Double Chocolate Brownie,$4.45
Lemon Cake Pop,$3.60
Lemon Loaf,$3.64
Banana Bread,$3.64
Chocolate Chip Cookie,$2.73
Classic Coffee Cake,$3.45
Chocolate Cake Pop,$3.06
Peppermint Brownie Cake Pop,$2.86
Ice Cream Cone Sugar Cookie,$3.84
Pumpkin Bread,$3.45
Valentine Cake Pop,$2.87
Strawberry Cake Pop,$2.65
Coffee Cake,$2.95
Double Chocolate Chunk Brownie,$3.05
Mummy Cake Pop,$2.65
Iced Lemon Loaf,$4.83
Chocolate Chunk Cookie,$3.48
Ginger Molasses Cookie,$3.20
Snowman Cookie,$2.98
Confetti Sugar Cookie,$3.20
Oatmeal Cookie,$2.87
Fox Sugar Cookie,$3.48
Cranberry Bliss Bar®,$3.46
Pumpkin and Pepita Loaf,$5.12
Butter Croissant,$3.40
Cranberry Bliss® Bar Tray,$16.00
Chocolate Croissant,$3.73
Cheese Danish,$3.37
Almond Croissant,$3.88
Gluten-Free Marshmallow Dream Bar,$2.96
Oat Bar,$3.37
Blueberry Bar,$2.95
Oat Fudge Bar,$3.16
Blueberry Muffin,$2.65
Blueberry Muffin with Yogurt & Honey,$3.81
Chocolate Chunk Muffin,$3.06
Pumpkin Cream Cheese Muffin,$5.55
Blueberry Scone,$2.97
Carrot Muffin,$3.08
Petite Vanilla Bean Scone,$1.92
Pumpkin Scone,$3.44
"Potato, Cheddar and Chive Bakes",$6.78
Reduced-Fat Bacon-Style Turkey & Cage Free Egg White Sandwich,$5.15
Egg White and Roasted Red Pepper Egg Bites,$6.43
"Roasted Ham, Swiss and Egg Sandwich",$5.38
Reduced-Fat Turkey Bacon and Cage Free Egg White Sandwich,$4.36
"Bacon, Gouda and Egg Sandwich",$5.37
"Double-Smoked Bacon, Cheddar and Egg Sandwich",$6.07
"Sausage, Cheddar & Egg Sandwich",$5.06
Hearty Blueberry Oatmeal,$3.75
"Spicy Chorizo, Monterey Jack & Egg Sandwich",$5.89
"Spinach, Feta and Cage Free Egg White Wrap",$5.13
Bacon and Gruyère Egg Bites,$6.44
"Bacon, Sausage and Egg Wrap",$7.86
Everything Croissant and Roasted Ham Sandwich,$6.37
"Southwest Potato, Black Bean and Egg Wrap",$7.82
Bacon & Gruyère Sous Vide Egg Bites,$5.57
Egg White & Roasted Red Pepper Sous Vide Egg Bites,$5.69
"Beyond Meat, Cheddar and Egg Sandwich",$7.05
Sous Vide Egg Bites: Egg White & Red Pepper,$5.45
"Bacon-Style Turkey, Cheddar and Egg White Sandwich",$6.33
Classic Oatmeal,$3.45
"Sous Vide Egg Bites: Ham, Cheddar & Peppers",$5.56
Lemonade,$2.48
Mango Dragonfruit Lemonade Starbucks Refreshers,$3.90
Blended Strawberry Lemonade,$4.02
Pink Drink,$3.95
Cold Milk,$3.22
Mango Dragonfruit Starbucks Refreshers™,$3.46
Strawberry Açaí Lemonade Starbucks Refreshers Beverage,$6.38
Violet Drink,$5.33
Violet Starbucks Refreshers®,$5.30
Strawberry Açaí Starbucks Refreshers Beverage,$5.68
Very Berry Hibiscus Refreshers®,$4.46
Very Berry Hibiscus Refreshers® Iced Beverage,$4.70
Very Berry Hibiscus Starbucks Refreshers™,$3.44
Strawberry Açaí Starbucks Refreshers® Iced Beverage,$4.70
Strawberry Acai Starbucks Refreshers™,$3.75
Strawberry Acai Lemonade Starbucks Refreshers,$4.31
Strawberry Açaí Lemonade Starbucks Refreshers® Iced Beverage,$5.27
Paradise Drink Starbucks Refreshers Beverage,$6.54
Very Berry Hibiscus Lemonade Starbucks Refreshers®,$5.22
Pineapple Passionfruit Starbucks Refreshers Beverage,$5.83
Strawberry Coconut Drink,$5.69
Pineapple Passionfruit Lemonade Starbucks Refreshers Beverage,$6.52
Dragon DrinkTM/MC Starbucks Refreshers Beverage,$6.61
Mango Dragonfruit Lemonade Starbucks Refreshers Beverage,$5.95
Mango Dragonfruit Starbucks Refreshers Beverage,$5.30
Flow Strawberry and Rose Water,$4.11
Dragon Drink,$5.55
SunRype Apple Juice,$1.93
Ethos® Bottled Water,$2.85
Kiju Organic Apple Juice,$2.44
Flow Original Water,$3.51
Iced Chai Latte,$4.88
Iced Tea,$2.25
Iced Black Tea,$3.22
Iced Chai Tea Latte,$3.66
Iced Black Tea Lemonade,$3.89
Iced Black Tea Latte,$4.88
Iced Rooibos Tea Latte,$4.72
Iced Blossoming Rose Tea Latte,$5.22
Iced Black Sesame Tea Latte,$5.23
Iced London Fog Tea Latte,$4.88
Iced Royal English Breakfast Tea Latte,$4.88
Iced English Breakfast Tea Latte,$4.89
Iced Green Tea Lemonade,$3.89
Iced Blueberry Black Tea,$3.83
Iced Green Tea,$3.22
Iced Matcha Lemonade,$4.75
Iced Blueberry Black Tea Lemonade,$4.43
Matcha Tea Lemonade,$4.17
Iced Matcha Green Tea Latte,$4.19
Iced Peach Green Tea,$3.91
Iced Peach Green Tea Lemonade,$4.44
Iced Passion Tango™ Tea,$3.23
Iced White Tea,$2.70
Iced White Tea Lemonade,$3.35
Iced Guava White Tea,$3.82
Iced Passion Tango™ Tea Lemonade,$3.89
Iced Guava White Tea Lemonade,$4.42
Iced Americano Blanco,$3.95
Iced Caffè Americano,$2.99
Iced Flat White,$5.31
Iced Starbucks Blonde® Caffè Americano,$3.44
Nitro Cold Brew,$4.41
Vanilla Sweet Cream Cold Brew,$4.52
Starbucks® Cold Brew Coffee,$4.02
Cold Brew with Cold Foam,$4.03
Cold Brew with Salted Cream Cold Foam,$4.69
Cinnamon Caramel Cream Cold Brew,$5.65
Irish Cream Cold Brew,$4.73
Iced Coffee,$3.34
Pumpkin Cream Cold Brew,$5.30
Iced Coffee with Milk,$3.87
Iced Espresso,$2.76
Starbucks Doubleshot® on Ice,$3.95
Salted Caramel Cream Cold Brew,$5.66
Starbucks Blonde® Doubleshot® On Ice,$3.95
Starbucks Double Shot® on Ice,$3.95
Iced Starbucks Blonde® Flat White,$5.31
Iced Almondmilk Honey Flat White,$6.20
Iced Almondmilk Honey Flat White with Starbucks Blonde® Espresso,$6.20
Chocolate Cream Cold Brew,$5.73
Iced Caffè Latte,$4.28
Iced Starbucks Blonde® Caffè Latte,$4.55
Iced Skinny Cinnamon Dolce Latte,$5.33
Iced Starbucks Blonde Vanilla Latte,$4.35
Iced Blonde Hazelnut Latte,$5.14
Iced Starbucks Blonde® Hazelnut Latte,$5.15
Iced Cinnamon Dolce Latte,$4.70
Iced Pumpkin Spice Latte,$5.53
Iced Starbucks Blonde® Caramel Brûlé Latte,$5.52
Iced Starbucks Blonde® Chestnut Praline Latte,$5.52
Starbucks Blonde® Iced Pumpkin Spice Latte,$5.53
Iced Caramel Brûlé Latte,$5.52
Iced Starbucks Blonde® Cardamom Latte,$5.53
Iced Cardamom Latte,$5.53
Iced Chestnut Praline Latte,$5.52
Iced Gingerbread Latte,$5.52
Iced Coconutmilk Latte with Starbucks Blonde® Espresso,$5.52
Iced Starbucks Blonde® Smoked Butterscotch Latte,$5.52
Iced Coconutmilk Latte,$5.52
Iced Smoked Butterscotch Latte,$5.52
Iced Caramel Macchiato,$4.53
Iced Starbucks Blonde® Caramel Macchiato,$5.31
Iced Caffè Mocha,$4.23
Iced White Chocolate Mocha,$4.59
Starbucks Blonde® Iced Salted Caramel Mocha,$5.51
Iced Salted Caramel Mocha,$5.51
Iced Starbucks Blonde® Peppermint Mocha,$5.52
Iced Starbucks Blonde® Peppermint White Chocolate Mocha,$5.52
Iced Peppermint Mocha,$5.52
Iced Peppermint White Chocolate Mocha,$5.52
Iced Caffé Verona® Clover®,$7.53
Chai Latte,$4.72
Rooibos Tea Latte,$4.72
Matcha Tea Latte,$5.72
Blossoming Rose Tea Latte,$5.05
Earl Grey Black Tea,$2.16
Black Tea Latte,$4.72
Royal English Breakfast Black Tea,$2.79
Black Sesame Tea Latte,$5.07
Matcha Green Tea Latte,$3.96
Chai Tea Latte,$4.79
Caffè Misto,$3.63
Starbucks Blonde® Caramel Brûlé Latte,$5.28
Decaf Pike Place Roast,$2.91
Starbucks Blonde Vanilla Latte,$5.65
Apple Crisp Oat Macchiato,$6.53
True North Blend™ Blonde Roast,$2.57
Espresso,$1.96
Featured Dark Roast,$2.70
Pike Place Roast,$8.79
Starbucks Blonde® Caffè Latte,$4.44
Caffè Americano,$3.17
Americano Blanco,$3.85
Starbucks Blonde® Caffè Americano,$3.10
Americano Nuevo,$4.44
Caffè Americano Misto,$4.29
Brown Sugar Oat Americano,$6.69
Irish Cream Americano,$4.46
Starbucks® Blonde Americano Misto,$4.10
Cappuccino,$4.21
Featured Medium Roast - Pike Place Roast,$2.90
Starbucks Blonde® Cappuccino,$4.45
Flat White,$5.04
Starbucks Blonde® Flat White,$5.11
Featured Blonde Roast - True North Blend,$3.02
Almondmilk Honey Flat White,$5.95
Almondmilk Honey Flat White with Starbucks Blonde® Espresso,$5.95
