Item,Price
Flat white,kr52.00
Rye bread lap with ham and cheese,kr53.00
Sandwich with ham and cheese,kr72.00
Sandwich with chicken and pesto,kr72.00
Croissant with ham and cheese,kr48.00
Sandwich omelet and bacon,kr68.00
Sandwich mozzarella,kr68.00
Chocolate Croissant,kr32.00
Croissant,kr32.00
Lemon Loaf Cake,kr36.00
Chocolate Chunk Cookie,kr31.00
"Bagel with butter, cheese and jam",kr29.00
Triple Chocolate Cookie,kr31.00
Triple Chocolate Muffin,kr39.00
Raspberry Brownie,kr39.00
Chocolate Fudge Cake,kr50.00
Donut Milky Zebra,kr27.00
Carrot Cake with Nuts,kr50.00
Strawberry Cheesecake,kr47.00
Blueberry Muffin,kr39.00
Apple Pecan Pie,kr50.00
Donut Merry Berry,kr27.00
Skyr with mango compote,kr39.00
Skyr with rhubarb-strawberry compote,kr39.00
Gold Coin,kr13.00
Caramel Waffle,kr23.00
Shortbread Biscuit,kr21.00
Gingerbread Biscuit - Teddy,kr31.00
Gingerbread Biscuit - Coffee,kr31.00
San Pellegrino grapefruit,kr24.00
Innocent Apple Juice,kr30.50
Innocent Orange Juice,kr30.50
Innocent Energise Smoothie,kr33.50
Innocent Antioxidant Smoothie,kr33.50
Innocent Recharge Smoothie,kr33.50
San Pellegrino Aracia and Ficodindia,kr24.00
Vitamin Well Boost,kr32.00
Vitamin Well Defence,kr32.00
Vitamin Well Prepare,kr32.00
San Pellegrino,kr32.50
Cream water,kr29.50
San Pellegrino Limonata,kr24.00
San Pellegrino Melograno and Arancia,kr24.00
San Pellegrino Orange and Red,kr24.00
San Pellegrino Essenza Lemon and Zest,kr24.00
San Pellegrino Essenza Pink Grapephruit and Citrus,kr24.00
San Pellegrino Essenza Blood Orange and Raspberry,kr24.00
