Item,Price
3 Macarons,€3.00
10 Mini Pancakes,€2.95
Vegan Nuggets Wrap,€5.50
Baked Roll with Cream Cheese,€2.56
Bagel with Ham and Cream Cheese,€4.65
Freshly Baked Croissant with Cheese,€2.60
Pretzel Butter,€2.09
Freshly Baked Emmental Cheese Pie,€2.11
Freshly Baked Handmade Cheese Pie with Feta,€2.59
Freshly Baked Homemade Kourou Cheesepie with Gruyere,€2.65
Vegan Pretzel,€2.16
Turkey Sandwich with Light Cheese,€4.10
Sandwich with Chicken and Sauce Caesar,€4.10
Turkey Toast with Kaseri Cheese,€2.95
"Wrap with Turkey, Lettuce, Tomato and Avocado Spread",€4.10
Chicken Wrap with Parmesan and Green Pepper Sauce,€4.10
Sandwich with Smoked Turkey and Egg Salad,€5.20
Italian dough with Mozzarela and Tomato,€3.65
Prosciutto Con Porcini Sandwich,€4.30
Κέικ Καρότου με Κρέμα Τυριού,€3.26
Cake Pop Σοκολάτα,€2.61
Φρεσκοψημένο Κρουασάν Βουτύρου με Γέμιση Κρέμα 95 g,€2.45
Φρεσκοψημένο Κρουασάν Βουτύρου 80 g,€2.06
Μπισκότο Red Velvet,€2.50
Christmas Lava Cake,€3.95
Dot in Star Shape,€1.95
Dot in Christmas Tree Shape,€2.02
Cookie with Chocolate Chips and Cranberry,€2.20
Chocolate Cake Pop,€2.56
Freshly Baked Butter Croissant with Praline Stuffing 95 g,€2.59
Freshly Baked Butter Croissant with Cream Filling 95 g,€2.57
Freshly Baked Butter Croissant with Pistachio Filling 95 g,€2.45
Freshly Baked Butter Croissant with Apricot Filling 95 g,€2.45
Freshly Baked Butter Croissant 80 g,€2.01
Muffin with Blueberries,€3.17
Muffin with Triple Chocolate,€3.17
Muffin Cheesecake,€3.10
Waffle with Sugar,€2.66
Macarons,€1.40
Pain au Chocolat,€2.00
Raspberry Cheesecake with White Chocolate,€6.01
Cinnamon Roll,€3.04
American Style Cookie with Chocolate Chunks,€2.18
Chocolate biscuit,€2.10
Donut Covered with Milk Chocolate,€1.83
Sugar Donut,€1.74
Chocοlate Filled Donut,€1.92
Lemon Cake,€2.84
Vanilla and Chocolate Cake,€2.84
4-Layer Carrot Cake,€6.01
Chocolate Brownie with Caramel,€3.95
Σιρόπι Toffee Nut,€10.95
Μπισκότο με Γεύση Ginger σε Σχήμα Αρκουδάκι,€2.38
Healthy Bites,€4.04
911159154- Πλαστικό Ποτήρι Πράσινο για Κρύα Ροφήματα με Σχέδιο Κορδέλες 0.454 l,€14.95
911159156- Ανοξείδωτος Κόκκινος Θερμός με Γραμμές 0.454 l,€29.95
911159570-Κούπα Πράσινη με Αστεράκια 0.312 l,€12.95
911159501-Κούπα Λευκή με Λαβή σε Σχέδιο Candy Cane 0.34 l,€14.95
911159186- Στολίδι Bearista,€7.95
"1160789- Κεραμική Κούπα ""Athens"" με Ανάγλυφο Σχέδιο 0.473 l",€27.95
"1110616 - Κεραμική Κούπα THESSALONIKI 0,414 l, «You Are Here Collection»",€23.95
"1110618 - Κεραμική Κούπα CRETE 0,414 l, «You Are Here Collection»",€23.95
"1110617 - Κεραμική Κούπα RHODES 0,414 l, «You Are Here Collection»",€23.95
"1062039 - Κεραμική Κούπα MYKONOS 0,414 l,  «You Are Here Collection»",€23.95
"1059104 - Κεραμική Κούπα ATHENS 0,414 l, «You Are Here Collection»",€23.95
"1083748 - Κεραμική Κούπα GREECE 0,414 l, «You Are Here Collection»",€23.95
"1094816 - Κεραμική Κούπα CORFU 0,414 l,  «You Are Here Collection»",€23.95
Mini Waffles,€3.61
Chocolate Lollipops in Various Christmas Designs,€3.95
Gingerbread Syrup,€10.95
Toffee Nut Syrup,€10.95
Milk Chocolate,€2.20
Starbucks Milk Chocolate Coin,€1.10
Lollipop in a Shape of a Cane,€1.95
Protein Bar Brownie Praline,€4.01
Protein Bar Salted Caramel Bar with Chocolate Chunks,€4.01
Bar with Orange and Carob,€4.01
Cookie Boubouki,€4.04
Cookie Straw,€0.76
Butter Cookies,€1.35
Caramel Waffles,€2.27
Mix of Roasted and Salted Dry Nuts,€2.30
Potato Chips,€1.50
Beatista Ginger Cookie,€2.30
"Yoghurt with Honey, Banana Chips and Granola",€3.65
Starbucks VIA Colombia - Instant Coffee,€8.50
Starbucks VIA Italian Roast - Instant Coffee,€8.50
Βιολογική Λεμονάδα με Αγαύη and Πιπερόριζα,€3.21
Christmas Blend,€11.95
Christmas Blond Roast,€11.95
Christmas Espresso Roast,€11.95
Milano Sole,€11.95
Milano Luna,€11.95
Starbucks Autumn Blend,€11.95
Espresso Roast,€10.95
Decaf Espresso Roast,€10.95
Blonde Roast,€10.95
Sumatra,€10.95
Kenya,€10.95
Ethiopia,€10.95
Pike Place Roast,€10.95
House Blend,€10.95
Guatemala Antigua,€10.95
Caffè Verona,€10.95
Colombia Nariño,€10.95
"Ανθρακούχο Μεταλλικό Νερό Βίκος 0,33 l",€2.70
"Νερό Acqua Panna 0,5 l",€2.25
Νερό Φυσικό Μεταλλικό Ανθρακούχο San Pellegrino 0.25 l,€4.20
"Μεταλλικό Νερό ΒΙΚΟΣ 0,5 l",€0.50
911159570-Green Mug with Stars 0.312 l,€12.95
911159199-Mug in Teddy Bear Shape 0.34 l,€15.95
911159501- White Mug with Handle in Candy Cane Design 0.34 l,€14.95
911159155- Plastic Green Cup for Cold Drinks 0.454 l,€19.95
91159157- Stainless Steel Ombre Red-Gold Cup for Cold Drinks 0.454 l,€19.95
91159568-Reusable Red Cup,€4.95
91159350- Stainless Steel Ombre Red-Gold Cup for Cold Drinks 0.454 l,€22.95
91159502- Stainless Steel Red Cup for Cold Drinks with Gold Inscription 0.511 l,€17.95
911159156- Stainless Steel Red Thermos with Lines 0.454 l,€29.95
91159136- Stainless Steel Thermos in Gold with Pompom Charm 0.454 l,€29.95
911159186- Ornament Bearista,€7.95
"1160789- Ceramic Mug ""Athens"" with Embossed Design 0.473 l",€27.95
911159154- Plastic Cup Green for Cold Drinks with Ribbon Design 0.454 l,€14.95
