Item,Price
Fudge Brownie Iced Chocolate,"Ft2,090.00"
Fudge Brownie Hot Chocolate,"Ft2,090.00"
Iced Gingerbread Latte,"Ft2,190.00"
"Diós, karamellás sajttorta","Ft1,590.00"
Mézeskalácsos minifánk,Ft690.00
Matcha tea torta,"Ft1,590.00"
"Citromos, mákos torta","Ft1,290.00"
"Tortilla falafellel, hummusszal és lilahagyma chutney-val","Ft1,520.00"
Tortilla grillezett csirkével és mézes-mustáros öntettel,"Ft1,567.42"
Tojásos tortilla pesztóval és szárított paradicsommal,"Ft1,566.67"
Pumpkin Spice Latte,"Ft2,090.00"
Iced Pumpkin Spice Latte,"Ft2,090.00"
Brunch menü,"Ft2,880.00"
Desszert menü,"Ft2,856.92"
Home Office menü,"Ft4,270.00"
Páros menü,"Ft8,540.00"
Reggeli menü csokis muffinnal,"Ft2,781.25"
Reggeli fahéjas tekercs menü,"Ft2,816.59"
Brunch ajánlat schiacciatával,"Ft3,530.00"
Brunch ajánlat croissant szendviccsel,"Ft3,230.00"
Reggeli menü áfonyás muffinnal,"Ft2,784.88"
Home office ajánlat schiacciatával,"Ft5,120.00"
Home office ajánlat croissant szendviccsel,"Ft4,820.00"
Páros ajánlat schiacciatával,"Ft10,240.00"
Páros ajánlat croissant szendviccsel,"Ft9,640.00"
Desszert ajánlat,"Ft3,230.00"
Latte duett,"Ft3,009.13"
Hot'n'Cold,"Ft3,009.13"
Black'n'White,"Ft2,909.13"
Hibiscus tea,"Ft1,397.14"
Earl grey tea,"Ft1,435.45"
Mint Citrus green tea,"Ft1,435.16"
Jasmin Pearl Green tea,"Ft1,435.16"
English breakfast tea,"Ft1,435.31"
Emperor green tea,"Ft1,434.83"
Youthberry tea,"Ft1,434.83"
Classic Black Tea,"Ft1,583.10"
Croissant vajjal és dzsemmel,Ft854.00
Csokoládés mogyorókrémes croissant,Ft940.00
Pizzás csiga,Ft990.00
Vegán citrusos croissant,Ft868.57
Narancsos vegán croissant,"Ft1,090.00"
Epres croissant,"Ft1,090.00"
Sajtos csiga,Ft990.00
Sós karamellás muffin,"Ft1,112.22"
Almás pite,"Ft1,517.78"
Epres sajttorta,"Ft1,529.13"
Vegán almás pite,"Ft1,526.67"
Étcsokoládé torta,"Ft1,427.50"
Gluténmentes eszpresszó brownie,"Ft1,190.00"
Csokis-mogyorós mini fánk,Ft690.00
Áfonyás muffin,"Ft1,194.65"
Créme Brulée fánk,Ft990.00
New York sajttorta,"Ft1,529.13"
Peanut Caramel Almond Cake,"Ft1,486.97"
Fahéjas tekercs,"Ft1,224.88"
"Vegán citromos, málnás muffin","Ft1,226.96"
Répatorta,"Ft1,530.00"
Málnás brownie,"Ft1,486.77"
Keksz tejcsokoládé darabokkal,"Ft1,127.78"
Keksz fehércsokolédé darabokkal,"Ft1,127.78"
Csokoládés muffin,"Ft1,192.38"
Fehércsokis mini fánk,Ft690.00
Gyümölcsös mini fánk,Ft690.00
Humuszos bagett grillezett zöldségekkel,"Ft1,590.00"
Pesztós csirkés bagett,"Ft1,590.00"
Sajtos sonkás croissant,"Ft1,533.59"
Tojásos baconös croissant,"Ft1,538.72"
Caprese bagett,"Ft1,590.00"
Szalámis croissant,"Ft1,590.00"
Három sajtos schiacciata,"Ft1,890.00"
"Csirkés, pestos schiacciata","Ft1,890.00"
Paradicsomos mozzarellás hajtott pizza,"Ft1,590.00"
Szalámis schiacciata,"Ft1,890.00"
Csokoládés pohárdesszert,"Ft1,067.78"
Görög joghurt kókuszos granolával,"Ft1,261.79"
Almaszeletek mogyoróvajjal,"Ft1,128.46"
Humusz zöldség szeletekkel,"Ft1,364.36"
Gyümölcssaláta,"Ft1,465.00"
Starbucks csokoládé érme,Ft676.09
Elefánt chips,Ft673.53
Kakaóbabos proteinszelet,Ft790.00
"Kókuszos, kakaós proteinszelet.",Ft790.00
Mogyoróvajas proteinszelet,Ft790.00
Karamellás waffel,Ft922.73
"Vöslauer szénsavmentes 0,75l",Ft992.17
"Erdei gyümölcsös smoothie 0,3l","Ft1,390.00"
"Hidegen préselt gyümölcslé 0,2l","Ft1,090.00"
"Almalé 0,2l",Ft965.56
"Baracklé 0,2l",Ft965.56
"Viwa Maracuja Orange 0,6l","Ft1,057.39"
"Viwa Cranberry 0,6l","Ft1,057.39"
"Narancslé 0,25l","Ft1,596.67"
"Viwa Lemon Zero 0,6l","Ft1,057.39"
"Hidegen préselt gyümölcslé 0,25l","Ft1,432.50"
Gyömbér citrom vitamin mix,"Ft1,259.23"
Alma-eper vitamin mix,"Ft1,259.23"
"Erdei gyümölcsös smoothie 0,25l","Ft1,535.00"
Starbucks Italian Roast VIA mikroőrleményű kávé,"Ft2,390.00"
Starbucks Pike Place Roast VIA mikroőrleményű kávé,"Ft2,390.00"
Guatemala 250g,"Ft4,690.00"
House Blend 250g,"Ft4,690.00"
Ethopia 250g,"Ft4,690.00"
Colombia 250g,"Ft4,383.02"
Blonde Roast 250g,"Ft4,370.00"
Pike Place Roast 250g,"Ft4,397.32"
Sumatra 250g,"Ft4,362.73"
Caffé Verona 250g,"Ft4,350.87"
Espresso Roast 250g,"Ft4,375.71"
Decaf Espresso Roast 250g,"Ft4,410.93"
Kenya 250g,"Ft4,390.00"
Reusable cup,"Ft1,490.00"
