Item,Price
Hibiscus box tea,$200.22
Youthberry box tea,$260.95
Emperors Candm Box Tea,$200.21
TEA IN CHAI BOX,$200.23
Kenya 250 GRS.,$244.19
Peru Chunqui,$288.22
Espresso Roast 250 grs.,$207.07
Verona 250 grs.,$242.74
Hatsu Mora Azul and Granada,$70.81
Decorated cookie (60 g),$55.69
Mangostino White Hatsu,$70.42
Hatsu Cherry Flower,$70.82
Perrier and Juice Strawber Kiwi,$51.52
Almendra cookies with chocolate sparks,$58.87
Orange wow juice,$76.50
Hatsu Rainbow,$72.16
Chocolate Brownie with sparks,$51.31
Just,$76.29
Water House: Gasified,$54.99
Sweet potato chips,$48.05
Delicacy cookie,$54.45
Water House: Natural,$54.60
Wafers de Chocolate,$52.31
Cocoa pudding,$58.11
Chocolate Brownie,$49.59
Nuts and nuts,$52.66
Arean,$55.78
Crescent of Mantequilla,$54.74
Breizh N List,$53.92
Croissant with turkey and cheese breast,$84.33
Breizh''Roll,$56.69
Croissant Serrano Ham and Cheese,$97.95
Croissant Multigrano,$48.95
Cronut chocolate,$58.27
Maple braid,$58.39
Neapolitan braid,$49.60
Croissant Ham and Cheese,$77.84
Croissant Mantequilla,$51.83
Chocolate bread,$58.08
Chocolate Bretzel,$48.95
MINI FRUIT POBJER,$25.67
Cheesecake Roulet,$58.37
Multigrano crescent,$58.57
Croissant with breast and cheese,$92.94
Baguette Notchicken con guacamole,$122.45
Baguette Notburger con guacamole,$122.52
Sandwich Pechuga Guacamole,$122.58
Discover a new option for breakfast,$95.94
Discover a new option for your afternoon,$132.63
Caesar salad,$122.23
Oatmeal with chia,$58.33
Yogurt Natural,$64.49
Mixed fruit,$57.03
Natural grapefruit in segments,$57.46
Wellby Cereza,$55.23
Chocolate Brownie 43 g,$54.14
Mix Enchilado 60 G,$59.08
Madeleines,$62.43
Cookie Straw 18 G,$26.59
Very Durazno 500 Ml,$71.82
Fibra Snack Bits,$56.27
Traditional waffle,$62.35
Walnuts and nuts 60 g,$59.57
Red fruits salad,$98.12
Natural yogurt with strawberry and blue blackberry,$56.20
Chocolate Brownie with 70 g sparks,$56.88
Dulce de Milk cookie 115 g,$66.07
Almond tiles,$51.79
Sweet milk cookie,$62.13
Oat cookie with blueberries 75 g,$66.21
Chocolate cookie,$50.85
Lavender Oatmilk Latte,$62.20
Traditional waffle 90 g,$66.60
Cookie s/ sugar added,$49.49
Water House: Gasified 355 ml,$58.63
Almendra tiles 50 g,$59.67
Dry nuts and fruits,$48.24
Juice wow red fruits,$76.57
Cookie with blueberries and white chocolate,$56.68
Biscottis,$54.90
Kind healthy bars,$54.10
Agua Evian Nude,$57.76
Banana panqué with nut,$58.52
Banana pancake with walnut 80 g,$61.69
Tiramisu 90 g,$69.00
Chocolate bar,$103.78
Natural Strawberry Yogurt and Blue Mora,$60.30
Decorated cookie,$53.18
Wellby Dry Fruits,$55.23
Starbucks Gold Coin,$42.29
Artsathiate 330 ml,$63.09
Chocolate almonds,$62.42
Cookie Straw,$22.72
Mini brownie,$44.39
Coconut water niau 330 ml,$62.72
Macarones,$110.17
Juice wow red fruits 350 ml,$83.48
Wow Mandarina juice,$77.85
Jugo Wow Tropical 350 Ml,$83.51
Madeleine 50 g,$66.52
Coconut water,$52.22
Reusable glass,$35.86
Water House: Natural 355 ml,$60.18
Te Very Blanco 500 Ml,$72.41
Tazo infusions,$65.86
Te Very Blanco,$69.65
Te Very Negro 500 Ml,$72.33
Jugos The Wow Fact,$65.71
Te Very Negro,$69.74
Mix Picosito,$45.10
350 ml orange juice,$83.40
Cookie-Sugar-Free,$51.90
Camote chips 40 g,$53.78
Agua Evian Nude 400 Ml,$62.70
Ranchilla Citrus 355 Ml,$61.79
Cookie Straw Fresa,$25.78
CHIPS TARO AND BETABEL,$49.76
Ice cream toasted vanilla Shaken espresso,$90.42
Mocha Cookie Crumble Frappuccino,$107.65
Chocolate Cookies And Cream F,$101.90
Mocha Cookie Crumble Cream Frappuccino,$107.48
Chocolate Cookies And Cream Frappuccino,$102.27
Caramel Ribbon Crunch Frappuccino,$107.70
Caramel Ribbon Crunch Cream Frappuccino,$107.70
Baguette Serrano ham,$146.78
Iced Toasted Vanilla Shaken Espresso,$87.11
Caramel Affogatto Cream Frappuccino,$114.58
Iced Brown Sugar Shaken Espresso,$87.37
Apple strudel,$62.04
Coffee Cup Cake,$39.72
New chocolate bread,$65.90
Celabration Cake,$112.24
Caramel,$55.50
Kiwi Starfruit Frozen Refreshers,$95.74
Tuna baguette,$101.24
Vanilla Latte ice cream,$92.41
Ice Cajeta Latte,$108.39
Caramel Light Latte ice cream,$101.53
Caramel Latte ice cream,$101.53
Vanilla Free Latte Vanilla Ice Cream,$92.29
White Mocha Shaken Espresso Ice Cream,$93.85
Avellana Shaken espresso ice cream,$95.05
Brown Sugar Shaken Espresso Helado,$93.56
Vanilla Toasted Shaken Espresso Ice Cream,$95.43
Cold Brew Caramel Frappuccino,$85.06
Caramel ice cream lake with milk light,$95.98
Caramel Latte Con Leche Light,$95.91
Flat White with soy drink,$113.00
White mocha Frappuccino chips with letho,$126.00
Mint tea with mint syrup,$78.70
Ice cream mint tea with mint syrup,$78.83
Latte Macchiato with Notmilk,$113.00
Ice Cream Macchiato with Notmilk,$113.00
Coffee of the ice cream: Chiapas,$58.50
Coffee of the day,$46.15
Icy Latte,$78.94
FRAPPUCCINO coffee,$83.31
Caramel Cream Frappuccino,$106.67
Caramel Frappuccino,$95.79
Frappuccino vanilla,$106.38
Mocha Frappuccino,$95.80
Mocha Blanco Frappuccino,$95.21
Chip Frappuccino,$96.47
Cajeta Frappuccino,$95.83
Vainilla Sugar Free Cream Frappuccino,$106.64
Yogurt Piña Coco Frappuccino,$85.47
Frappuccino Mexican chocolate,$101.24
Yogurt Berry Frappuccino®,$99.96
Cream Frappuccino milling cutter,$95.85
Vainilla Cream Frappuccino,$95.77
Chocolate Blanco Frappuccino,$100.03
Espresso Frappuccino,$95.16
Chocolate Cream Frappuccino,$95.75
Cajeta cream frappuccino,$98.73
Cookies and Cream Frappuccino,$93.22
Green Tea Cream Frappuccino,$85.47
Chai Cream Frappuccino,$100.17
Matcha Green Tea Cream Frappuccino,$106.16
Frappucino Curler,$73.10
MANGO Maracuyá Frappuccino®,$71.21
Piñacoco Frappuccino yogurt,$108.02
Serious Strawberry Frappuccino®,$91.88
DRONG DRINK + GROONJA IN GAJOS,$129.64
American express + natural yogurt with cutter,$109.79
Coffee of the day + mixed fruit,$96.79
COLD BREW + PAV SANDWICH,$151.97
Mango Dragon Fruit Refresher + Turkey Sandwich,$157.85
Mint Tea Ice Cream + Wrapped Poblano,$124.85
American Express + Wrapped Tuna,$134.24
Strawberry & Kiwi,$42.03
Piña & Mango,$42.03
A convenient lunch,$208.56
Breakfast at home,$180.50
The perfect combination all day,$169.29
Bundle celebration,$188.59
I pancked pumpkin,$55.73
"""New"" Coffee Traveler",$211.71
Cream Macchiato,$91.25
Ice cream mocha,$91.57
Ice cream white mocha,$91.37
Izmeted American espresso,$63.04
Coffee of the Day: Chiapas,$58.30
LATTE CAJETA,$108.47
Stained caramel,$91.34
Vainilla milk,$91.21
Latte,$79.19
Latté,$91.06
Vainilla Sugar Free Latte,$92.06
Mocha,$91.65
Caramel Light Latte,$101.53
American espresso,$63.14
White mocha,$91.81
Flat White,$91.13
Caramel Latte,$99.00
Iced Shaken Espresso with hazelnut,$86.52
Iced Shaken Espresso Con Mocha,$89.00
English Breakfast,$62.20
Ice cream white chocolate,$82.05
Chai Tea Latte,$45.80
Chai latte helado,$83.65
Hibiscus,$62.18
Mint,$62.21
Youthberry,$62.11
Chamomile,$62.26
Ice cream chocolate,$82.38
Green Tea Latte,$66.83
Chai milk,$79.23
MATCHA GREEN TEA LATTE ICEAD,$82.66
Shaken White Tea,$73.10
Ice cream youthberry,$65.82
Chocolate,$67.80
English Breakfast Helado,$65.76
Ice cream chocolate,$78.79
White chocolate,$78.51
Hibiscus ice cream,$65.78
100% Mexican chocolate,$78.80
Emperors Clouds and Mist Helado,$66.40
Mint ice cream,$65.83
Chai Tea,$56.00
Chai Tea ice cream,$57.02
Ice cream chamomile,$65.74
Shaken Lemon Tea Hibiscus ice cream,$81.97
Helado Shaken Lemon Tea Green,$82.12
Helado Shaken Lemon Tea Black,$81.70
Vainilla Sweet Cream Cold Brew,$92.68
Chai,$65.43
Full-Leaf Brewed Tea Hot,$62.57
Hot chocolate,$82.18
Matcha Green Tea Latte,$82.41
Cold Brew,$80.25
Vainilla Cream Cold Brew,$73.66
Vanilla Sweet Cream Cold Brew,$79.92
Mango dragonfruit,$82.42
Mango Dragonfruit with Limonada,$93.42
Strawberry Acai Frozen Refreshers,$102.75
Kiwi Starfruit Refresher,$81.78
Mango Dragon Fruit Frozen Refreshers,$103.14
Strawberry here refresh with lemonade,$98.80
Kiwi Starfruit Refresher with lemonade,$92.54
Star Drink,$92.26
Dragonfruit Refresher mango with lemonade,$98.92
Dragon Drink,$101.85
Pink Drink,$101.25
Strawberry here with lemonade,$95.53
Strawberry Acai Refresher,$85.48
Good morning!,$140.74
Poblano wrapped,$83.25
Breakfast Muffin,$61.76
Grilled Cheese Sandwich,$82.89
Guacamole,$20.78
Chabacano jam,$13.83
Strawberry jam,$14.49
Cream cheese,$15.00
Chipotle,$13.72
Refresher® Mango Dragonfruit,$87.26
Refresher® Dragon Drink,$79.23
Refresher® Pink Drink,$79.23
Ice cream berry matcha Latte with drink of,$107.62
Helada Matcha Green Tea Lemonade,$108.02
Bagel with breast and cheese 174 g,$96.16
Croissant with breast and cheese 149 g,$103.39
Baguette Suprema 245 G.,$125.57
Breakfast Muffin 130 G,$69.48
Turkey and panela sandwich 228 g,$112.51
Baguette Clásica 241 G,$113.28
Spanish baguette 194 g,$113.14
Matcha Green Tea Lemonade,$101.00
Shaken Green Tea,$86.52
Helada Chai,$68.83
Shaken Black Tea,$86.44
Shaken Hibiscus Tea,$86.52
Elot bread,$55.17
Panqué lemon,$59.46
Muffin banana with nut,$46.78
Cinnamon roll,$44.50
Muffin Blueberry,$46.78
Mini Cronuts,$38.95
Muffin Chocochips,$46.78
LINAZA PANQUE,$58.72
Double chocolate donut,$47.09
Lemon pancake,$50.51
I panked marbled,$56.92
Traditional bagel,$58.42
Muffin de Blueberry,$58.73
Chocolate dona,$38.63
Muffin de Chocochip,$58.58
Dona Cookies & Cream,$38.57
Orange pancake,$50.51
Cinnamon role,$52.29
Moras puff pastry,$50.65
Moras cake with white chocolate 130,$102.92
Cheesecake Roulet 80 g,$65.93
Crescent of Mantequilla 90 g,$64.29
LINAZA PAN 146 G,$67.80
320 g chocolate cake,$103.10
Cheesecake brulee de rambuesa 175 g,$102.59
Muffin De Blueberry 140 G,$68.82
Mini crescent mantequilla 30 g,$24.14
Muffin de chocochip 145 g,$68.65
Double chocolate dona 90 g,$61.02
Panqué lemon 148 g,$68.20
Bagel Traditional 151 G,$68.43
Carrot cake 165 g,$102.78
Cronut Chocolate 95 G,$65.92
Apple strudel 100 g,$65.21
Biscuit of Arandanos with cheese 85 g,$72.22
Cake pops with Vain,$42.31
Dulce de Milk Biscuit 85 g,$70.00
Apple fritter 79 g,$68.55
Cake Pops Chocolate,$42.17
Mini chocolate bread,$23.60
Dona Old Fashed Vanilla 94 G,$61.62
Chocolate bread 85 g,$66.61
Moras and white chocolate cake,$75.44
Carrot cake,$86.01
Classic Chocolate Cake,$75.07
Moras cake with white chocolate,$90.02
Cheesecake brulee de rambuesa,$86.45
Chocolate cake,$89.97
Glass Cake Salted Caramel,$71.05
Breast and Cheese Bagel,$91.25
Protein sandwich,$124.46
Baguette Vegana Notburger,$125.40
Croissant Español,$95.80
Baguette Vegana Notchicken,$125.40
House Blend,$169.48
Colombia,$169.48
Kenya,$202.70
Sumatra,$247.48
Verona,$202.70
Chiapas,$169.48
Espresso Roast,$169.48
Nut cake,$96.76
Bagel with hazelnut cream,$66.08
Cinnamon biscuit with cream,$67.08
Biscuit of Arandanos with Cheese,$67.33
Wrapped in tuna,$84.52
Spanish baguette,$102.91
Spanish Panini Chorizo ​​and Cheese,$85.73
Baguette Clásica,$102.98
CLÁSICA PANINI,$85.73
3 cheese panini,$98.02
Clear Piadini,$71.21
Sandwich turkey and panela,$95.88
Bagel ham and cheese,$78.05
Panini 3 cheeses,$85.73
Wrapped in mushrooms,$81.10
Cesar 230 g salad,$148.50
Natural grapefruit in segments 310 g,$66.17
Chiapas 250 G,$232.95
TEA IN CHAI BOX 36 G,$227.11
Colombia Narino 250 G,$233.14
Kenya 250 g,$271.98
Pike Place 250 G,$272.09
Pike Place 250 grs.,$243.32
Verona 250 G,$271.95
Sumatra 250 grs.,$284.53
Colombia Narino 250 Grs.,$207.36
Chiapas 250 grs.,$206.35
Sumatra 250 g,$310.05
Espresso Roast 250 G,$233.14
Tribute Blend,$285.68
Hibiscus 38.4 g box,$227.02
Emperors Candm Box 31.2 g box,$227.30
Medium blend,$288.30
Youthberry 42 g box,$298.60
Coffee Traveler,$278.51
Mini Cronuts to share,$122.97
Half dozen donuts 540 g,$276.50
Half dozen donuts,$206.97
Half dozen mini cakes,$135.43
Mini Cronuts to share 176 g,$155.61
Half dozen chocolate chronuts.,$261.35
Cheese bread to share,$83.98
Half dozen chocolate chronuts 570,$297.46
Dozen minicronuts,$352.60
Half dozen croissants ham and cheese,$428.50
Cheese bread to share 400 g,$92.45
Freshly baked bakery,$258.68
Dozen minicronuts 528 g,$443.59
