Item,Price
Freshly Baked Mini,lei35.60
Coffee Duet,lei35.00
Classic breakfast,lei31.00
Autumn Blend 2024 250Gr,lei64.90
Pumpkin check,lei15.90
Roller with feta and spinach,lei13.90
Cake Pop with chocolate aroma,lei13.52
Cake Pop with strawberry aroma,lei13.54
Cinnamon roller,lei15.90
Croissant with cheese,lei12.90
COCAO CUP COCO,lei12.90
Croissant vegan with raspberry filling,lei12.90
Vanilla Bean Creme Frappuccino,lei12.90
Croissant filled with almond cream,lei12.90
Croissant with cocoa filling and hazelnuts,lei12.90
Croissant with butter,lei11.90
Smoothie Avonation,lei16.90
Smoothie Mango Punch,lei16.90
Smoothie Very Strawberry,lei16.90
Spiruline lemonade,lei16.90
Juice Mango Ninja,lei16.90
Shot with ginger,lei11.90
Raw Shot Vitamina C,lei11.90
Raw Shot Cătina,lei11.90
Mozzarella focaccia,lei21.90
Crude Crude Probed Crude Symeza,lei21.90
Sandwich with omelette and bacon,lei19.90
Cake with rich chocolate cream,lei22.90
Vegan cake with apple,lei20.90
Cake with cream cheese and strawberry,lei22.90
Cake with carrots with cream cheese,lei22.90
Carrot muffin,lei15.90
Vegan muffin with lemon and raspberry,lei15.90
Cinnamon roll,lei14.90
Donut with Bubble Gum aroma,lei13.90
Biscuit with dark chocolate,lei13.90
Biscuit with three types of chocolate,lei13.90
Donut with dark chocolate,lei13.90
Donut filled with vanilla cream,lei13.90
Donut with raspberry filling and cheese,lei13.90
Gogoa with sugar,lei12.90
Croissant with ham and cheese,lei18.90
Vanilla cherry,lei11.90
With almonds,lei11.90
Cursec with chia and lemon,lei11.90
Dark chocolate,lei8.90
Dark chocolate with peanut butter,lei8.90
Milk chocolate,lei8.90
Butter biscuits,lei6.90
Vanilla donut,lei13.90
Cocoa donut,lei13.90
Vegana with lemon and raspberry,lei16.90
Blueberry muffin,lei16.44
Chocolate muffin,lei16.44
Bio Cola Zero,lei15.90
Bio tail,lei15.90
Bio lemonade,lei15.90
Plowed bio,lei15.90
Chai milk milk,lei10.90
Carbonated mineral water,lei10.90
Guatemala almost sky 250g,lei59.90
Spring Season Blend 2024 250gr,lei58.47
Colombia Nariño 250 g,lei49.90
Kenya 250g,lei49.90
Sumatra 250g,lei49.90
Blonde Roast 250 g,lei44.90
Caffé Verona 250g,lei44.90
Espresso Roast 250g,lei44.90
Pike Place Roast 250g,lei44.00
Espresso Roast Decaf 250g,lei44.00
Chocolate berry,lei14.90
Slug with two kinds of chocolate,lei14.90
Vanilla Chocolate Cookie,lei11.90
Chocolate cake,lei22.90
Stained,lei14.90
Lemon check,lei15.53
Starbucks Blonde Espresso Roast,lei30.00
Single-Origin Colombia,lei30.00
Carrot cake,lei22.90
Cheesecake with strawberries,lei22.90
Sandwich with chicken swing,lei22.90
Portion 3 American pancakes,lei15.73
"Nuts, dried fruits and caramelized almonds",lei8.90
Fried and salted nuts,lei8.90
Caramel napolitan,lei8.90
Chocolate currency,lei7.90
Franui raspberries in white chocolate and dark chocolate,lei39.95
Franui raspberries in white chocolate and milk chocolate,lei39.96
Bar protein coconut 50g,lei17.90
Bar salted caramel 50g,lei17.90
Bar white chocolate and raspberry  50g,lei17.90
Chips with pea protein with cheese and onion flavor 60g,lei17.90
Bar chocolate hazelnut bio 34g,lei15.90
Bar raw vegan cacao and coconut 35 g,lei12.90
Bar raw-vegan with raspberry 35g,lei12.90
Bar raw vegan with peanuts  35g,lei12.90
Dark Chocolate Sour Cherries,lei12.90
Almond Caramel Cookie,lei11.90
Chia Lemon Cookie,lei11.90
Dark Chocolate and Peanut Butter Cups,lei8.90
Praline Bar Milk Chocolate,lei8.90
Praline Bar Dark Chocolate,lei8.90
Pike Place Roast,lei38.42
Sumatra,lei49.90
Kenya,lei49.90
Espresso Roast,lei38.13
Ancient Guatemala,lei49.90
Decaf Espresso Roast,lei44.90
Verona,lei44.90
Blonde Espresso Roast,lei44.90
