Item,Price
Iced Tea Lemonade,$3.68
Brulled Candy,$4.92
Caramel Brulee Latte,$4.68
Chestnut Praline Frappuccino,$5.07
Caramel Ribbon Crunch Crème Frappuccino,$4.75
Peppermint Mocha Crème Frappuccino,$4.86
Salted Caramel Mocha Frappuccino,$4.85
Chestnut Praline Latte,$4.68
Salted Caramel Mocha,$4.34
Mocha Frappuccino,$4.80
Protein Bistro Box,$5.25
Roasted Tomato & Mozzarella Panini,$5.54
Vanilla Bean Creme Frappuccino,$4.25
Strawberry Acai Starbucks Refreshers™,$3.87
Caramel Frappuccino,$4.62
"Roasted Ham, Swiss and Egg Sandwich",$5.51
White Mocha Frappucino,$4.77
Freshly Brewed Coffee Hot,$2.24
Caramel Macchiato Hot,$3.96
White Chocolate Mocha Hot,$6.36
Cinnamon Dolce Latte Hot,$3.96
Vanilla Latte Hot,$3.91
Caffe Mocha Hot,$3.46
Caffe Latte Hot,$4.62
Skinny Caffe Mocha Hot,$3.46
Caffe Americano Hot,$2.26
Cappuccino Hot,$4.12
Tropical Citrus Iced Energy,$7.04
Melon Burst Iced Energy,$7.03
Bacon & Gouda Breakfast Sandwich,$3.78
Sausage & Cheddar Breakfast Sandwich,$3.51
Spinach & Feta Breakfast Wrap,$3.76
Reduced Fat Turkey Bacon Breakfast Sandwich,$3.77
Slow-Roasted Ham & Swiss on Croissant Bun,$4.75
"Double-Smoked Bacon, Cheddar & Egg on Croissant Bun",$4.77
American coffee,$3.40
Starbucks® blonde American coffee,$3.44
Blonde Roast,$2.62
Mixed coffee,$3.84
Espresso,$2.27
Skinny Mocha,$5.29
Featured Dark Roast,$3.00
Starbucks® Blonde Flat White,$5.49
Featured Starbucks Dark Roast Coffee,$2.77
Featured Medium Roast - Pike Place Roast,$3.17
Caffè Verona Clover Vertica,$3.25
Pike Place Roast,$2.27
Starbucks Odyssey Blend Clover Vertica,$3.20
Honey Almondmilk Flat White,$5.99
Decaf Pike Place Roast,$2.92
Cappuccino,$4.29
Featured Dark Roast Sumatra,$3.01
Starbucks® Blonde Cappuccino,$4.24
Apple Crisp Oatmilk Macchiato,$6.60
Flat White,$5.12
Featured Dark Roast Caffè Verona,$3.21
Milk coffee,$4.31
Latté,$5.10
Featured Blonde Roast,$3.18
Sloth milk,$6.29
Guatemala almost sky clove,$3.25
Cinnamon Dolce Latte,$5.23
Almondmilk Honey Flat White with Starbucks® Blonde Espresso,$5.67
Egg Nom Latte,$4.96
Veranda Blend Clover Vertica,$3.22
Skinny Cinnamon Dolce Latte,$5.64
Featured Decaf Roast Decaf Pike Place Roast,$3.18
Iced Café Latte,$2.99
Sugar Cookie Almondmilk Latte,$6.26
Starbucks® blonde coffee milk,$4.24
Expressed with cream,$3.28
Vanilla Bean Coconutmilk Latte,$5.91
Starbucks Blonde Vanilla Latte,$5.72
Lavender Oatmilk Latte,$6.08
Starbucks® Blonde Vanilla Bean Coconutmilk Latte,$5.92
Starbucks® Blonde Pumpkin Spice Latte,$5.10
Coffee Traveler - Veranda Blend,$23.97
Pumpkin Spice Latte,$5.87
Gingerbread Latte,$6.22
Stained,$3.58
Stained caramel,$5.13
Cinnamon Almondmilk Macchiato,$5.91
Starbucks® Blonde Caramel Burish Latte,$5.12
Mocha coffee,$4.95
Coconutmilk mocha stained,$5.92
Starbucks® Blonde Chestnut Praline Latte,$5.12
Starbucks® Blonde Smoked Butterscotch Latte,$5.09
White Chocolate Mocha,$5.31
Coconutmilk Latte,$5.09
Starbucks® Blonde Eggnog Latte,$5.13
Coconutmilk Latte with Starbucks® Blonde Espresso,$5.09
Starbucks® Blonde Salted Caramel Mocha,$5.13
Smoked Butterscotch Latte,$5.09
Coffee Traveler - Blonde Roast,$23.41
Caramel Cloud Macchiato,$5.92
Cinnamon Cloud Macchiato,$5.66
Coffee Traveler - Pike Place Roast,$23.49
Starbucks® Blonde Caramel Cloud Macchiato,$5.92
Coffee Traveler - Decaf Pike Place Roast,$23.46
Coffee Traveler - Dark Roast,$23.49
Starbucks Blonde Cinnamon Cloud Macchiato,$5.86
Starbucks® Blonde Peppermint Mocha,$5.11
Starbucks® Blonde Peppermint White Chocolate Mocha,$5.11
Starbucks® Blonde Toasted White Chocolate Mocha,$5.11
Cordusium,$5.68
Coffee Traveler – Starbucks® Blonde Roast,$20.70
Peppermint Mocha,$5.73
Peppermint White Chocolate Mocha,$5.73
Toasted White Chocolate Mocha,$5.18
Cheese & Fruit Bistro Box,$5.02
Omega-3 Bistro Box,$5.95
PB&J on Wheat Bistro Box,$5.25
Turkey Pesto Panini,$6.42
Tartkey Rustic Panini,$6.45
Chicken Santa Fe Flatbread,$5.95
Chicken Blt Salad Deli Sandwich,$5.95
Chicken Artips panini,$6.45
Old-Fashioned Grilled Cheese,$5.25
Edamame Hummus Wrap,$5.95
Thai-Style Peanut Chicken Wrap,$5.95
Salted Caramel,$1.99
Salted Caramel Pop,$1.96
Iced Caramel Cloud Macchiato,$6.21
Iced Brown Sugar Oatmilk Shaken Espresso,$6.67
Starbucks Cold Brew Coffee with Milk,$4.49
Cinnamon Caramel Cream Cold Brew,$5.88
Starbucks Cold Brew Coffee,$4.20
Vanilla Sweet Cream Cold Brew,$4.56
Cold Brew with Cold Foam,$4.39
Salted Caramel Cream Cold Brew,$5.90
Iced Sugar Cookie Almondmilk Latte,$6.68
Cold Brew with Salted Cream Cold Foam,$5.24
Chocolate Cream Cold Brew,$5.92
Cold Brew with Cascara Cold Foam,$4.76
Nitro Cold Brew,$4.00
Irish Cream Cold Brew,$4.76
Pumpkin Cream Cold Brew,$5.58
Iced American coffee,$3.83
Starbucks Iced Coffee Blend Clover Vertica,$4.61
Iced Starbucks® blonde American coffee,$3.31
Macchiato iced,$5.87
Iced Starbucks Blonde Cappuccino with Cold Foam,$5.94
Starbucks Iced Coffee Blend,$4.61
Iced Coffee,$3.47
Iced Cappuccino with Cold Foam,$5.92
Iced Honey Apple Almondmilk Flat White,$7.23
Iced Coffee with Milk,$3.95
Iced Shaken Espresso,$4.83
Starbucks Doubleshot® on Ice,$4.53
Pistachio Cream Cold Brew,$5.92
Iced Espresso,$2.69
Iced Cinnamon Cloud Macchiato,$5.99
Iced Apple Crisp Oatmilk Macchiato,$6.98
Starbucks® Blonde Doubleshot® On Ice,$4.05
Iced Almondmilk Honey Flat White,$6.55
Iced Flat Whites,$5.92
Iced Almondmilk Honey Flat White with Starbucks® Blonde Espresso,$5.77
Iced Flat White,$5.98
Iced Lavender Oatmilk Latte,$6.38
Iced Caffè Latte,$4.61
Iced Hazelnut Oatmilk Shaken Espresso​,$6.73
Iced Pistachio Latte,$6.79
Iced Cinnamon Dolce Latte,$5.43
Iced Toasted Vanilla Oatmilk Shaken Espresso,$6.38
